名称,営業日,住所,アクセス
瀬し香 西ハゼ店,月、水～日、祝日、祝前日: 11:30～22:00 （料理L.O. 21:00 ドリンクL.O. 21:30）,香川県高松市西ハゼ町156-1
ARa,火～金、祝日、祝前日: 17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）土、日: 11:30～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,香川県高松市福田町12-14　中桐ビル１Ｆ
渡海屋,月～日、祝日、祝前日: 17:30～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）,香川県高松市鍛冶屋町６－２
四季懐石 櫂 かい 高松,月～日、祝日、祝前日: 17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,香川県高松市古馬場町6-13
牛角 高松 レインボー通り店,月～日、祝日、祝前日: 17:00～翌0:00 （料理L.O. 23:20 ドリンクL.O. 23:20）,香川県高松市松縄町1003-7 レインボータウン１Ｆ
骨付鳥 焼鳥専門店 串どり 高松店,月～木: 17:30～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）金: 17:30～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）土、祝日: 17:00～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）祝前日: 17:30～23:00 （料理L.O. 22:30 ドリンクL.O. 23:00）,香川県高松市鍛冶屋町1-22 吉田ビル２F
讃岐キッチン エスポワール 高松,月～土、祝日、祝前日: 11:00～14:30 （料理L.O. 14:00 ドリンクL.O. 14:00）17:30～21:30 （料理L.O. 21:00 ドリンクL.O. 21:00）,香川県高松市瓦町２‐8-38 
NEPALI&INDIAN RESTAURANT PUJA,月～日、祝日、祝前日: 11:00～15:00 （料理L.O. 14:30 ドリンクL.O. 15:00）17:00～22:00 （料理L.O. 21:30 ドリンクL.O. 21:30）,香川県高松市木太町１８４９　プラスパ
焼肉 なかむら 西の丸店,月、水～日、祝日、祝前日: 17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）,香川県高松市西の丸町13-7酔灯屋ビル1F
焼肉酒家 あぶり亭 高松店,月～土、祝前日: 11:30～14:00 （料理L.O. 13:30 ドリンクL.O. 13:30）17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）日、祝日: 11:30～14:00 （料理L.O. 13:30 ドリンクL.O. 13:30）16:30～22:30 （料理L.O. 21:30 ドリンクL.O. 21:30）,香川県高松市勅使町182-4
博多一番どり 高松中央店,月、火、木～日、祝日、祝前日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,香川県高松市林町2531-8
若大将,月～日、祝日、祝前日: 16:00～翌1:00 （料理L.O. 翌0:00 ドリンクL.O. 翌0:00）,香川県高松市西の丸町5－1
オマール Omar’s 西宮北口店,月～日、祝日、祝前日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,兵庫県西宮市高松町10-9
串焼酒場 若八屋,月～土、祝日、祝前日: 11:30～13:30 （料理L.O. 13:00 ドリンクL.O. 13:00）17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,香川県高松市西の丸町6－12
焼肉 炭焼きカルビ ぼっけぇ,月、金～日、祝日、祝前日: 17:30～22:30 （料理L.O. 22:00 ドリンクL.O. 22:30）火～木: 11:30～14:0017:30～22:30 （料理L.O. 22:00 ドリンクL.O. 22:30）,香川県高松市亀井町9-8　大塚ビル1Ｆ
